species,latitude,longitude
Presbytis comata,-6.75,107.0167
Presbytis comata,-7,106.5333
Presbytis comata,-7,106.5333
Presbytis comata,-6.75,107.0167
Presbytis comata,-7.0667,107.0333
Presbytis comata,-7.0667,107.0333
Presbytis comata,-7.0667,107.0333
Presbytis comata,-7.0667,107.0333
Presbytis comata,-6.671742,106.57473
Presbytis comata,-6.760478,106.512805
Presbytis comata,-6.771308,106.882954
Presbytis comata,-6.7,106.866667
Presbytis comata,-6.948141,108.494409
Presbytis comata,-6.669809,106.530768
Presbytis comata,-6.692253,106.88713
Presbytis comata,-6.8,106.933333
Presbytis comata,-6.9832,107.9208
Presbytis comata,-6.9832,107.9208
Presbytis comata,-6.87067,106.829278
Presbytis comata,-7.5,111
